Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Evan Turner,,4,2.6,2.5,2.4,2.3,2.1,2,1.4,1.2
Jerryd Bayless,86.6,4,2.7,2.4,2.4,2.4,2,1.6,0.3,-0.1
Scott Brooks,85.0,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,0.7
Earl Watson,83.8,2.9,2.7,2.6,2.3,2.3,2,1.8,1.5,-0.2
Jon Barry,83.4,4.2,2.4,2.4,2.4,2.1,1.8,1.1,0.9,-0.1
Danny Young,82.6,4.8,3,2.9,2.4,1.9,1.8,1.8,1.4,-0.1
Randy Foye,81.2,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1
John Battle,80.8,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5
Darrell Griffith,80.0,3.9,3.5,3.5,2.8,2.5,2.5,2.1,0.8,0.4
Ernie Grunfeld,79.7,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4
Mike Glenn,79.4,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5
