Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Jonathon Simmons,,2,2,1.9,0.3,NA,NA,NA
Leon Wood,87.5,2.2,2,1.9,0.6,0.3,-0.2,NA
Gary Brokaw,85.3,1.9,1.6,1.6,0.1,NA,NA,NA
Caris LeVert,85.2,2.3,1.8,1.7,NA,NA,NA,NA
Brian Roberts,80.3,2.2,2.2,1.8,1,0.2,NA,NA
Tom Garrick,79.3,2.5,1.8,1.4,0.2,NA,NA,NA
James Robinson,78.6,2.3,1.9,1.2,0.2,0.2,0,-0.1
Yogi Ferrell,77.6,3,1.9,1.8,NA,NA,NA,NA
Dick Garrett,77.6,2.4,2.3,1.6,0.1,-0.2,NA,NA
Tim Frazier,75.7,2.4,2,1.4,1,-0.1,NA,NA
Daequan Cook,75.0,2.2,1.6,1.6,0.1,-0.2,-0.4,NA
