,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2015-16,26,SAS,NBA,SG,55,813,8%,90%,2%,,,+7.0,-5.7,20,15,37,7,43,15,142,17,24
2016-17,27,SAS,NBA,SG,78,1392,3%,94%,3%,1%,,+9.4,+2.3,32,27,61,8,52,13,315,4,40
2017-18,28,ORL,NBA,SG,69,2029,4%,76%,20%,1%,,-7.2,-4.5,59,59,69,12,118,14,428,33,54
2018-19,29,TOT,NBA,SG-SF,56,1064,7%,81%,12%,,,-5.0,-8.1,32,25,35,2,48,16,311,13,37
2018-19,29,ORL,NBA,SG,41,845,8%,91%,,,,-6.2,-9.2,26,20,23,1,36,15,239,10,31
2018-19,29,PHI,NBA,SF,15,219,1%,41%,57%,1%,,-0.3,-3.4,6,5,12,1,12,1,72,3,6
Career,,,NBA,,258,5298,5%,84%,11%,,,-0.2,-3.6,143,126,202,29,261,58,1196,67,155
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SAS,NBA,,133,2205,5%,92%,2%,,,+8.5,-0.7,52,42,98,15,95,28,457,21,64
2 seasons,,ORL,NBA,,110,2874,5%,80%,14%,,,-6.9,-5.9,85,79,92,13,154,29,667,43,85
1 season,,PHI,NBA,,15,219,1%,41%,57%,1%,,-0.3,-3.4,6,5,12,1,12,1,72,3,6
