Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jonathon Simmons,,2,2,1.9,0.3
Leon Wood,90.0,2.2,2,1.9,-0.2
Lee Mayberry,88.0,2.1,1.8,1.6,0.4
Med Park,87.7,1.9,1.8,1.6,0.4
Mike Bratz,86.6,2.1,1.7,1.5,0.4
Gary Brokaw,85.3,1.9,1.6,1.6,0.1
Caris LeVert,85.2,2.3,1.8,1.7,NA
Jerryd Bayless,84.7,2.7,2,1.6,0.3
Brian Roberts,83.1,2.2,2.2,1.8,1
James Robinson,82.1,2.3,1.9,1.2,0.2
Dick Garrett,81.1,2.4,2.3,1.6,0.1
