Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Eddie Gill,,1.1,0.3,0.2,0.1,0.1,0.1,0,NA,NA,NA,NA
Lowes Moore,77.5,1.1,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA
Kelvin Upshaw,76.3,1,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA
Brooks Thompson,72.6,1.1,0.6,0.2,0.1,NA,NA,NA,NA,NA,NA,NA
Nate Hawthorne,69.2,1.1,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA
Ray McCallum,67.5,1.4,0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA
Gerald Glass,66.9,0.9,0.5,0.3,0.1,NA,NA,NA,NA,NA,NA,NA
Kyle Weaver,66.2,1.2,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA
Randy Livingston,64.8,1.5,0.4,0.3,0.2,0.1,0.1,0,0,0,-0.1,-0.1
Willie Smith,61.4,1,0.3,0,0,NA,NA,NA,NA,NA,NA,NA
Salim Stoudamire,61.2,1.2,0.8,0.3,NA,NA,NA,NA,NA,NA,NA,NA
