Season,Team,Lg,Salary
2004-05,Indiana Pacers,NBA,"$720,046"
2005-06,Indiana Pacers,NBA,"$819,551"
2007-08,New Jersey Nets,NBA,"$151,089"
2008-09,Milwaukee Bucks,NBA,"$387,613"
Career,(may be incomplete),,"$2,078,299"
