Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Chris Whitney,,6.5,4,3.2,2.7,2.3,1.3,1,0.6,0.2,-0.2,-0.3
Darwin Cook,87.5,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA,NA
George Senesky,86.8,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA,NA
Johnny Dawkins,86.1,6.4,4.3,3.6,2,1.7,1.1,1.1,1,0.6,NA,NA
Evan Fournier,86.1,5.7,3.3,3.2,2.8,2.1,1.4,1,NA,NA,NA,NA
Jerry Sichting,86.1,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2,NA
Larry Miller,85.5,6.2,3.4,3.2,3,2.4,1.3,0,NA,NA,NA,NA
Chris Childs,85.4,5.8,3.9,3.7,2.9,2.2,2.1,1.2,1.1,0.1,NA,NA
Larry Drew,85.3,7.2,4.6,3.6,3,2.8,1.4,1.2,0.5,0.1,0,NA
Delonte West,83.0,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA,NA
Šarūnas Marčiulionis,82.5,6.4,3.8,3,2.6,2.5,2.3,-0.5,NA,NA,NA,NA
