Season,Team,Lg,Salary
1984-85,Kansas City Kings,NBA,"$375,000"
1985-86,Sacramento Kings,NBA,"$375,000"
1987-88,Los Angeles Clippers,NBA,"$375,000"
1988-89,Houston Rockets,NBA,"$475,000"
1991-92,Houston Rockets,NBA,"$658,000"
Career,(may be incomplete),,"$2,258,000"
