Season,Team,Lg,Salary
1995-96,Miami Heat,NBA,"$1,071,000"
1996-97,Miami Heat,NBA,"$1,238,000"
1997-98,Dallas Mavericks,NBA,"$1,398,960"
1998-99,New York Knicks,NBA,"$1,750,000"
1999-00,New York Knicks,NBA,"$1,925,000"
2000-01,New York Knicks,NBA,"$3,680,000"
2001-02,New York Knicks,NBA,"$4,413,375"
2002-03,New York Knicks,NBA,"$4,903,750"
2003-04,New York Knicks,NBA,"$5,394,125"
2004-05,New York Knicks,NBA,"$5,884,500"
2005-06,Phoenix Suns,NBA,"$6,620,062"
2006-07,Phoenix Suns,NBA,"$7,821,482"
2007-08,San Antonio Spurs,NBA,"$8,091,188"
2008-09,San Antonio Spurs,NBA,"$4,200,000"
2009-10,Milwaukee Bucks,NBA,"$3,800,000"
2010-11,Chicago Bulls,NBA,"$1,352,181"
Career,(may be incomplete),,"$63,543,623"
