Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980-81,24,SDC,NBA,SG,5,NA,29,2,7,0.286,0,0,NA,2,7,0.286,0.286,0,0,NA,0,0,0,3,2,1,2,3,4
Career,NA,,NBA,,5,NA,29,2,7,0.286,0,0,NA,2,7,0.286,0.286,0,0,NA,0,0,0,3,2,1,2,3,4
