Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1966-67,22,LAL,NBA,PF,22,118,15.1,0.478,0.654,NA,NA,NA,5.3,NA,NA,NA,0.1,0.1,0.2,0.079,NA,NA,NA,NA,NA
1967-68,23,SDR,NBA,C,52,1805,17.1,0.505,0.455,NA,NA,NA,5.6,NA,NA,NA,2.5,1.6,4.1,0.109,NA,NA,NA,NA,NA
1968-69,24,SDR,NBA,PF,78,2489,14.5,0.483,0.377,NA,NA,NA,7.5,NA,NA,NA,2,3.5,5.5,0.107,NA,NA,NA,NA,NA
1969-70,25,SDR,NBA,PF,82,2152,15.5,0.503,0.358,NA,NA,NA,8.3,NA,NA,NA,1.9,3.1,5.1,0.113,NA,NA,NA,NA,NA
1970-71,26,SDR,NBA,PF,73,1464,15.2,0.499,0.462,NA,NA,13.2,9.2,NA,NA,NA,1.5,2.6,4.1,0.133,NA,NA,NA,NA,NA
1971-72,27,MIL,NBA,PF,79,1524,14.3,0.516,0.519,NA,NA,13,7.7,NA,NA,NA,1.9,2.2,4.2,0.131,NA,NA,NA,NA,NA
1972-73,28,TOT,NBA,PF,73,2041,16.7,0.514,0.427,NA,NA,12.7,8,NA,NA,NA,3.2,0.9,4.2,0.099,NA,NA,NA,NA,NA
1972-73,28,PHI,NBA,PF,48,1558,17.6,0.511,0.428,NA,NA,12.6,8.9,NA,NA,NA,2.5,0.9,3.4,0.104,NA,NA,NA,NA,NA
1972-73,28,KCO,NBA,PF,25,483,13.9,0.525,0.422,NA,NA,13,5.2,NA,NA,NA,0.8,0,0.8,0.082,NA,NA,NA,NA,NA
1973-74,29,KCO,NBA,PF,82,1777,13.2,0.493,0.325,7.6,15.3,11.5,7.6,1.7,1,NA,0.8,1.5,2.3,0.062,NA,-1.5,-0.5,-2,0
1974-75,30,TOT,NBA,PF,54,939,17,0.528,0.416,7.7,18.2,13,8.6,2.1,1.9,NA,1.4,1.7,3.1,0.159,NA,0.3,1.1,1.4,0.8
1974-75,30,NOJ,NBA,PF,4,57,15.2,0.404,0.345,10.2,21.8,15.8,18.1,3.1,0.9,NA,-0.1,0.1,0,0.002,NA,-3.5,0.2,-3.3,0
1974-75,30,CHI,NBA,PF,50,882,17.2,0.539,0.423,7.6,17.9,12.8,8,2.1,2,NA,1.5,1.6,3.1,0.17,NA,0.5,1.2,1.7,0.8
1975-76,31,CHI,NBA,PF,2,7,12.9,0.41,0.5,0,30.9,14.4,0,6.8,0,NA,0,0,0,-0.121,NA,-4.7,0.2,-4.6,0
Career,NA,,NBA,,597,14316,15.4,0.502,0.413,7.6,16.3,12.6,7.7,1.9,1.3,NA,15.3,17.4,32.7,0.11,NA,-0.9,0.1,-0.8,0.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,SDR,NBA,,285,7910,15.5,0.497,0.405,NA,NA,13.2,7.6,NA,NA,NA,7.9,10.9,18.8,0.114,NA,NA,NA,NA,NA
2 seasons,NA,KCO,NBA,,107,2260,13.4,0.5,0.346,7.6,15.3,11.8,7.1,1.7,1,NA,1.6,1.5,3.1,0.066,NA,-1.5,-0.5,-2,0
1 season,NA,MIL,NBA,,79,1524,14.3,0.516,0.519,NA,NA,13,7.7,NA,NA,NA,1.9,2.2,4.2,0.131,NA,NA,NA,NA,NA
2 seasons,NA,CHI,NBA,,52,889,17.1,0.537,0.424,7.5,18,12.8,7.9,2.1,2,NA,1.5,1.6,3.1,0.167,NA,0.5,1.2,1.7,0.8
1 season,NA,PHI,NBA,,48,1558,17.6,0.511,0.428,NA,NA,12.6,8.9,NA,NA,NA,2.5,0.9,3.4,0.104,NA,NA,NA,NA,NA
1 season,NA,LAL,NBA,,22,118,15.1,0.478,0.654,NA,NA,NA,5.3,NA,NA,NA,0.1,0.1,0.2,0.079,NA,NA,NA,NA,NA
1 season,NA,NOJ,NBA,,4,57,15.2,0.404,0.345,10.2,21.8,15.8,18.1,3.1,0.9,NA,-0.1,0.1,0,0.002,NA,-3.5,0.2,-3.3,0
