Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1972-73,28,PHI,NBA,PF,1,0,5:00,2,4,0.5,0,0,NA,NA,2,0,NA,NA,1,4
Career,NA,,NBA,,1,0,5,2,4,0.5,0,0,NA,NA,2,0,NA,NA,1,4
