Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,LAL,NBA,PF,1,NA,1,0,0,NA,0,0,NA,NA,NA,0,0,NA,NA,0,0
1968-69,24,SDR,NBA,PF,5,NA,19.4,4.8,9,0.533,2.8,3.6,0.778,NA,NA,2.8,0.6,NA,NA,3.6,12.4
1971-72,27,MIL,NBA,PF,11,NA,14.2,1.8,4.7,0.385,1.4,1.6,0.833,NA,NA,5,0.5,NA,NA,1.4,5
1974-75,30,CHI,NBA,PF,4,NA,8.5,1.5,3.8,0.4,0.3,0.8,0.333,0.5,1,1.5,0,1,0,1.3,3.3
Career,NA,,NBA,,21,NA,13.7,2.4,5.3,0.446,1.4,1.9,0.769,0.5,1,3.6,0.4,1,0,1.8,6.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MIL,NBA,,11,NA,14.2,1.8,4.7,0.385,1.4,1.6,0.833,NA,NA,5,0.5,NA,NA,1.4,5
1 season,NA,SDR,NBA,,5,NA,19.4,4.8,9,0.533,2.8,3.6,0.778,NA,NA,2.8,0.6,NA,NA,3.6,12.4
1 season,NA,CHI,NBA,,4,NA,8.5,1.5,3.8,0.4,0.3,0.8,0.333,0.5,1,1.5,0,1,0,1.3,3.3
1 season,NA,LAL,NBA,,1,NA,1,0,0,NA,0,0,NA,NA,NA,0,0,NA,NA,0,0
