Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,29,KCO,NBA,PF,82,NA,1777,7,16.1,0.434,4.2,5.2,0.796,3.3,6.6,9.9,2.4,1.7,0.9,5.8,18.2,NA,NA,99
1974-75,30,TOT,NBA,PF,54,NA,939,8.1,17.6,0.46,5.8,7.3,0.792,3.5,8.3,11.8,2.6,2.1,1.6,6.2,22,NA,NA,92
1974-75,30,NOJ,NBA,PF,4,NA,57,6.9,22.3,0.31,6.9,7.7,0.9,4.6,9.2,13.9,5.4,3.1,0.8,8.5,20.8,NA,NA,94
1974-75,30,CHI,NBA,PF,50,NA,882,8.2,17.3,0.473,5.7,7.3,0.784,3.4,8.2,11.7,2.4,2.1,1.7,6,22.1,NA,NA,92
1975-76,31,CHI,NBA,PF,2,NA,7,13.7,27.4,0.5,0,13.7,0,0,13.7,13.7,0,6.8,0,13.7,27.4,NA,NA,84
Career,NA,,NBA,,138,NA,2723,7.4,16.7,0.433,4.7,6,0.778,3.4,7.2,10.6,2.5,1.9,1.1,6,19.5,NA,NA,97
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,KCO,NBA,,82,NA,1777,7,16.1,0.436,4.2,5.2,0.809,3.3,6.6,9.9,2.4,1.7,0.9,5.8,18.2,NA,NA,99
2 seasons,NA,CHI,NBA,,52,NA,889,8.2,17.4,0.474,5.7,7.4,0.772,3.4,8.3,11.7,2.4,2.1,1.7,6.1,22.2,NA,NA,92
1 season,NA,NOJ,NBA,,4,NA,57,6.9,22.3,0.31,6.9,7.7,0.9,4.6,9.2,13.9,5.4,3.1,0.8,8.5,20.8,NA,NA,94
4 seasons,NA,SDR,NBA,,0,NA,0,NA,NA,0.428,NA,NA,0.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,LAL,NBA,,0,NA,0,NA,NA,0.385,NA,NA,0.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MIL,NBA,,0,NA,0,NA,NA,0.44,NA,NA,0.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,PHI,NBA,,0,NA,0,NA,NA,0.441,NA,NA,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
