,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,LAL,NBA,,4,,5,6,,,,,,,,9
1967-68,23,SDR,NBA,,12,,17,21,,,,,,,,36
1968-69,24,SDR,NBA,,13,,12,15,,,,,,,,33
1969-70,25,SDR,NBA,,13,,11,15,,,,,,,,33
1970-71,26,SDR,NBA,,13,,15,16,,,13,6,,,6,32
1971-72,27,MIL,NBA,,10,,10,12,,,,,,,,25
1972-73,28,TOT,NBA,,13,,14,19,,,,,,,,35
1972-73,28,PHI,NBA,,13,,14,19,,,,,,,,35
1972-73,28,KCO,NBA,,8,,6,8,,,,,,,,18
1973-74,29,KCO,NBA,,11,,9,9,,,,,,,,27
1974-75,30,TOT,NBA,,13,,11,11,,,16,3,,,,29
1974-75,30,NOJ,NBA,,4,,4,4,,,6,2,,,,12
1974-75,30,CHI,NBA,,13,20,11,11,,,16,3,,,5,29
1975-76,31,CHI,NBA,,2,4,0,2,0,2,2,0,1,0,1,4
Career,,,,,13,,17,21,,,,,,,,36
4 Seasons,,SDR,NBA,,13,,17,21,,,,,,,,36
2 Seasons,,KCO,NBA,,11,,9,9,,,,,,,,27
1 Season,,MIL,NBA,,10,,10,12,,,,,,,,25
2 Seasons,,CHI,NBA,,13,20,11,11,,,16,3,,,5,29
1 Season,,PHI,NBA,,13,,14,19,,,,,,,,35
1 Season,,LAL,NBA,,4,,5,6,,,,,,,,9
1 Season,,NOJ,NBA,,4,,4,4,,,6,2,,,,12
