Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
John Block,,5.5,5.1,4.2,4.2,4.1,4.1,3.1,2.3,0.2,0,NA,NA,NA,NA
Mike Bantom,92.1,5.9,5.2,4.8,4.5,4.4,3.9,2.9,2.7,0.5,NA,NA,NA,NA,NA
Darnell Hillman,88.2,6.2,4.4,4.2,3.8,3.3,3.2,3.2,2.6,0.3,NA,NA,NA,NA,NA
Morris Peterson,88.2,5.9,5.1,4.9,4.9,3.8,3.6,3.2,2.9,0.8,0.6,0,NA,NA,NA
Harvey Grant,87.0,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7,0.8,0.7,NA,NA,NA
Stephen Jackson,86.6,5,4.8,4.6,4.4,4.4,4.1,3.1,2.2,1.9,0.9,0.6,0.3,-0.1,-0.2
P.J. Tucker,85.4,6.1,5,4.9,3.9,3.6,3.5,2.9,0.1,NA,NA,NA,NA,NA,NA
Jerome Williams,84.6,7.6,5.4,5,4.8,4.5,4.3,3.5,2.6,0.2,NA,NA,NA,NA,NA
Phil Hubbard,84.4,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2,NA,NA,NA,NA
Terry Mills,84.1,6.3,6.2,3.9,3.8,3.8,3.7,3.7,1.3,0.9,0,-0.2,NA,NA,NA
Tom Van Arsdale,83.5,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1.1,1,NA,NA
