Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Lloyd Daniels,,1.8,1.1,0.2,0.1,0
Chink Crossin,84.0,2.1,1.2,0.5,NA,NA
Mike Flynn,83.8,1.7,0.8,0.3,NA,NA
John Jenkins,83.6,1.7,0.9,0.2,0,-0.1
Quinn Cook,82.2,1.8,1.6,0.2,NA,NA
Kevin O'Shea,80.9,2.1,1.2,0.5,NA,NA
Chris Carr,80.1,1.7,1.1,0.3,0.2,-0.3
Corky Devlin,79.8,1.8,1.2,0.8,NA,NA
Bubbles Hawkins,78.6,1.9,0.6,0.3,0.1,NA
Steve Bracey,78.0,2.1,1.5,0.3,NA,NA
Alexey Shved,77.5,2.2,0.8,0.2,NA,NA
