Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Adonal Foyle,,4,3.4,2.8,1.9,1.3,1.2,1.1,1.1,1,0.7,0.3,-0.1
Duane Causwell,85.7,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0,0,NA
Bill Wennington,81.8,3.5,2.8,2.3,2.1,2,1.3,1.2,0.9,0.8,0.5,0.4,-0.3
Len Elmore,81.7,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0,NA,NA
Joel Anthony,80.6,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2,NA,NA
Bob Ferry,80.2,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0,NA,NA
Mike Brown,79.3,3.7,3.7,2.4,1.5,1.5,1.4,1,0.7,0.2,0.1,-0.4,NA
Joe Kleine,78.8,3.1,2.6,2.6,2.3,1.6,1.5,1.4,1.2,1,0.9,0.4,0.1
Vitaly Potapenko,78.1,3.4,3.1,2.5,2.2,1.5,1.1,1,0.5,0.2,0.1,-0.1,NA
Spencer Hawes,77.2,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6,NA,NA
Luc Longley,76.4,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0,NA,NA
