Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ivano Newbill,,1.1,0.1,-0.1,NA,NA
Chris King,81.8,1.1,0,-0.1,NA,NA
Terence Morris,80.5,0.9,0.2,-0.1,NA,NA
Glenn McDonald,79.9,1.1,0.2,-0.2,NA,NA
Scott English,77.8,1,0,-0.2,NA,NA
Dwayne Jones,74.1,1.2,0.1,0.1,0,0
Kenny Dennard,73.9,1.1,0.3,0.1,NA,NA
Jim Tucker,73.8,1,0.3,0,NA,NA
Jackie Butler,72.2,1.2,0.1,0.1,NA,NA
David Thirdkill,71.8,1,0.3,0,0,-0.1
Michael Young,71.5,1.1,0,0,NA,NA
