Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Bill Closs,,4.4,2.8,0
Larry Stewart,92.4,4.7,2.9,0.1
Mike Bantom,90.8,4.5,2.7,0.5
James Jones,90.7,4,2.5,0
Jeff Foster,88.7,4.2,2.7,0.6
Willie Naulls,88.7,4.6,2.6,0.4
Jim Petersen,88.3,4.7,2.9,0.3
Ronny Turiaf,87.7,4.2,3.1,0.4
Richard Washington,87.6,3.9,3.2,0
Jason Caffey,87.3,3.9,2.7,0.4
Corliss Williamson,87.1,4.4,2.7,-0.8
