Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bill Closs,,4.4,2.8,0,NA,NA
Sonny Dove,84.5,4.3,3,0.4,0,-0.5
Michael Ansley,78.7,3.3,3.1,0,NA,NA
Jaylen Brown,78.1,4.5,3,1.5,NA,NA
Andy Duncan,77.8,3.7,3.4,-0.3,NA,NA
Dike Eddleman,76.5,3.8,3.7,-0.1,-0.1,NA
Ollie Darden,75.7,3.7,3.6,0.3,NA,NA
Sam Smith,72.0,4.6,3.3,1.4,0.2,NA
Larry Stewart,71.3,4.7,2.9,1.6,0.5,0.1
Lee Shaffer,70.9,5,3.8,-0.6,NA,NA
Tony Jaros,70.8,4.4,2.2,1.3,0.6,NA
