,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22,TEX,ABA,,14,,5,,,,13,14,,,,,,,,,35
1971-72,23,DLC,ABA,,10,,3,,,,11,13,,,,,,,,,26
1972-73,24,DLC,ABA,,14,,6,,,,8,9,,,,,,,,,35
1973-74,25,TOT,ABA,,14,,3,,,,8,9,,,,,,,,,32
1973-74,25,SAA,ABA,,14,,3,,,,8,9,,,,,,,,,32
1973-74,25,KEN,ABA,,8,,3,,,,4,6,,,,,,,,,21
1974-75,26,KEN,ABA,,5,9,2,3,3,6,3,4,,,2,4,,,,4,12
1975-76,27,UTS,ABA,,9,,2,,,,4,6,,,,,,,,,21
Career,,,,,14,,6,,,,13,14,,,,,,,,,35
4 Seasons,,"DLC,SAA,TEX",ABA,,14,,6,,,,13,14,,,,,,,,,35
2 Seasons,,KEN,ABA,,8,,3,,,,4,6,,,,,,,,,21
1 Season,,UTS,ABA,,9,,2,,,,4,6,,,,,,,,,21
