Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Joe Hamilton,,4.1,2.9,2.9,2.2,0.2,0.2
Mike McGee,89.0,3.2,3,2.8,1.9,0.2,0.2
Ricky Davis,87.3,4.4,3,2.8,1.1,0.2,0.2
T.J. McConnell,87.0,3.8,3.8,2.9,1.9,NA,NA
Skeeter Swift,86.9,4.3,3.4,2.7,1.8,0,NA
Bill Gabor,86.3,3.5,2.9,2.8,1.5,0.5,0
Adrian Griffin,85.8,3.9,3.5,2.9,1.3,0.4,0.1
Bob Harrison,85.8,3.5,3.3,2.9,2.2,0,-0.4
Frank Johnson,85.8,4.3,3,2.1,1.9,0.5,0.5
Kevin Loughery,85.6,3.6,3,2.6,2.5,0.1,-0.3
Greivis Vásquez,85.0,3.8,3.6,2.8,2.3,0.5,-0.3
