Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1963-64,24,CIN,NBA,PG,6,43,4.2,0.263,NA,0.174,NA,NA,NA,10.1,NA,NA,NA,-0.3,0,-0.2,-0.249
1964-65,25,CIN,NBA,PG,4,47,8.2,0.44,NA,0.308,NA,NA,NA,8.5,NA,NA,NA,0,0,0,-0.004
1965-66,26,CIN,NBA,PG,4,46,6.4,0.358,NA,0.182,NA,NA,NA,16.4,NA,NA,NA,-0.1,0,-0.1,-0.115
1967-68,28,BOS,NBA,SG,17,81,2.2,0.295,NA,0.292,NA,NA,NA,12,NA,NA,NA,-0.2,0.1,-0.1,-0.088
1968-69,29,INA,ABA,PG,16,391,6.6,0.363,0.043,0.402,NA,NA,8.5,21.3,19.3,15.7,NA,-0.7,0.7,0,0.004
1969-70,30,INA,ABA,PG,14,187,5.2,0.385,0.289,0.289,NA,NA,11,23.9,31.8,12.6,NA,-0.2,0.5,0.3,0.08
Career,NA,,TOT,,61,795,5.8,0.354,0.068,0.325,NA,NA,9.3,19.3,22.7,14.7,NA,-1.5,1.3,-0.1,-0.008
,NA,,NBA,,31,217,4.8,0.326,NA,0.232,NA,NA,NA,11.8,NA,NA,NA,-0.6,0.1,-0.5,-0.107
,NA,,ABA,,30,578,6.2,0.368,0.103,0.374,NA,NA,9.3,22.1,22.7,14.7,NA,-0.9,1.2,0.3,0.029
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,INA,ABA,,30,578,6.2,0.368,0.103,0.374,NA,NA,9.3,22.1,22.7,14.7,NA,-0.9,1.2,0.3,0.029
1 season,NA,BOS,NBA,,17,81,2.2,0.295,NA,0.292,NA,NA,NA,12,NA,NA,NA,-0.2,0.1,-0.1,-0.088
3 seasons,NA,CIN,NBA,,14,136,6.3,0.34,NA,0.207,NA,NA,NA,11.7,NA,NA,NA,-0.4,0.1,-0.3,-0.119
