Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,24,CIN,NBA,PG,48,NA,457,4.2,14.3,0.293,NA,NA,NA,4.2,14.3,0.293,2,4.2,0.491,NA,NA,9.1,4,NA,4,10.4
1964-65,25,CIN,NBA,PG,55,NA,470,4.3,12.9,0.333,NA,NA,NA,4.3,12.9,0.333,1.8,3.6,0.489,NA,NA,9.7,3.1,NA,4.9,10.3
1965-66,26,CIN,NBA,PG,50,NA,478,6.3,15.6,0.406,NA,NA,NA,6.3,15.6,0.406,1.1,2.9,0.395,NA,NA,9,4.6,NA,6.4,13.8
1967-68,28,BOS,NBA,SG,65,NA,782,5.2,12.5,0.419,NA,NA,NA,5.2,12.5,0.419,2,3.9,0.512,NA,NA,7.4,3.2,NA,7.6,12.5
1968-69,29,INA,ABA,PG,18,NA,346,4.2,12.2,0.342,0,0.2,0,4.2,12,0.348,1.9,3.2,0.581,3.2,3.7,7,5.4,2.7,5.3,10.2
1969-70,30,INA,ABA,PG,70,NA,1016,2.5,7.5,0.33,0.4,1.4,0.256,2.1,6.1,0.347,1.3,2.4,0.551,3.2,4.3,7.5,6.6,4.1,6.3,6.7
1970-71,31,INA,ABA,PG,8,NA,92,2.3,6.7,0.353,0,1.2,0,2.3,5.5,0.429,0.4,0.4,1,2.7,5.9,8.6,2.7,3.1,7,5.1
Career,NA,,TOT,,314,NA,3641,4.2,11.6,0.36,0.2,1.1,0.227,4.1,11.2,0.365,1.6,3.2,0.508,3.2,4.2,8.1,4.6,3.7,6,10.1
,NA,,NBA,,218,NA,2187,5.1,13.6,0.371,NA,NA,NA,5.1,13.6,0.371,1.8,3.7,0.482,NA,NA,8.6,3.7,NA,6,11.9
,NA,,ABA,,96,NA,1454,2.9,8.6,0.335,0.2,1.1,0.227,2.6,7.5,0.351,1.4,2.5,0.564,3.2,4.2,7.4,6,3.7,6.1,7.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CIN,NBA,,153,NA,1405,4.9,14.2,0.347,NA,NA,NA,4.9,14.2,0.347,1.6,3.5,0.464,NA,NA,9.2,3.9,NA,5.1,11.5
3 seasons,NA,INA,ABA,,96,NA,1454,2.9,8.6,0.335,0.2,1.1,0.227,2.6,7.5,0.351,1.4,2.5,0.564,3.2,4.2,7.4,6,3.7,6.1,7.4
1 season,NA,BOS,NBA,,65,NA,782,5.2,12.5,0.419,NA,NA,NA,5.2,12.5,0.419,2,3.9,0.512,NA,NA,7.4,3.2,NA,7.6,12.5
