Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Tom Thacker,,0.9,0.4,0,0,-0.1,-0.6,-0.9
Tarence Kinsey,-65.6,0.9,0.6,0,NA,NA,NA,NA
Eddie Hughes,-66.2,1,0.4,0,NA,NA,NA,NA
Bryan Warrick,-66.4,1,0.5,0.1,0,NA,NA,NA
Nate Hawthorne,-67.5,1.1,0.5,0.1,NA,NA,NA,NA
Gerald Glass,-68.7,0.9,0.5,0.3,0.1,NA,NA,NA
Stephen Graham,-69.4,1.6,0.4,0,0,-0.1,-0.3,NA
Phil Rollins,-70.4,1.1,0.7,0.1,NA,NA,NA,NA
Kareem Rush,-71.0,1.5,1,0.1,0,0,-0.2,-0.6
Tony Bennett,-72.1,0.9,0.7,0,NA,NA,NA,NA
Mike D'Antoni,-72.4,1,0.8,0.3,0,NA,NA,NA
