,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,24,CIN,NBA,,4,,,,,,5,6,,,,,,,11
1964-65,25,CIN,NBA,,6,,,,,,3,5,,,,,,,12
1965-66,26,CIN,NBA,,7,,,,,,3,4,,,,,,,14
1967-68,28,BOS,NBA,,8,,,,,,4,5,,,,,,,17
1968-69,29,INA,ABA,,5,,0,,,,4,6,,,,,,,10
1969-70,30,INA,ABA,,6,,2,,,,5,6,,,,,,,13
1970-71,31,INA,ABA,,1,,0,,,,0,0,,,,,,,2
Career,,,TOT,,8,,,,,,5,6,,,,,,,17
,,,NBA,,8,,,,,,5,6,,,,,,,17
,,,ABA,,6,,2,,,,5,6,,,,,,,13
,,,,,,,,,,,,,,,,,,,
3 Seasons,,CIN,NBA,,7,,,,,,5,6,,,,,,,14
3 Seasons,,INA,ABA,,6,,2,,,,5,6,,,,,,,13
1 Season,,BOS,NBA,,8,,,,,,4,5,,,,,,,17
