Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,24,CIN,NBA,PG,48,,9.5,1.1,3.8,.293,,,,1.1,3.8,.293,.293,0.5,1.1,.491,,,2.4,1.1,,1.1,2.8
1964-65,25,CIN,NBA,PG,55,,8.5,1.0,3.1,.333,,,,1.0,3.1,.333,.333,0.4,0.9,.489,,,2.3,0.7,,1.2,2.5
1965-66,26,CIN,NBA,PG,50,,9.6,1.7,4.1,.406,,,,1.7,4.1,.406,.406,0.3,0.8,.395,,,2.4,1.2,,1.7,3.7
1966-67,27,Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired)
1967-68,28,BOS,NBA,SG,65,,12.0,1.8,4.2,.419,,,,1.8,4.2,.419,.419,0.7,1.3,.512,,,2.5,1.1,,2.5,4.2
1968-69,29,INA,ABA,PG,18,,19.2,2.2,6.5,.342,0.0,0.1,.000,2.2,6.4,.348,.342,1.0,1.7,.581,1.7,2.0,3.7,2.9,1.4,2.8,5.4
1969-70,30,INA,ABA,PG,70,,14.5,1.0,3.0,.330,0.1,0.6,.256,0.9,2.5,.347,.354,0.5,1.0,.551,1.3,1.7,3.0,2.6,1.6,2.5,2.7
1970-71,31,INA,ABA,PG,8,,11.5,0.8,2.1,.353,0.0,0.4,.000,0.8,1.8,.429,.353,0.1,0.1,1.000,0.9,1.9,2.8,0.9,1.0,2.3,1.6
Career,NA,,TOT,,314,,11.6,1.3,3.7,.360,0.1,0.5,.227,1.3,3.6,.365,.365,0.5,1.0,.508,1.3,1.8,2.6,1.5,1.6,1.9,3.2
,NA,,NBA,,218,,10.0,1.4,3.8,.371,,,,1.4,3.8,.371,.371,0.5,1.0,.482,,,2.4,1.0,,1.7,3.3
,NA,,ABA,,96,,15.1,1.2,3.6,.335,0.1,0.5,.227,1.1,3.1,.351,.350,0.6,1.1,.564,1.3,1.8,3.1,2.5,1.6,2.6,3.1
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,NA,CIN,NBA,,153,,9.2,1.3,3.6,.347,,,,1.3,3.6,.347,.347,0.4,0.9,.464,,,2.4,1.0,,1.3,2.9
3 seasons,NA,INA,ABA,,96,,15.1,1.2,3.6,.335,0.1,0.5,.227,1.1,3.1,.351,.350,0.6,1.1,.564,1.3,1.8,3.1,2.5,1.6,2.6,3.1
1 season,NA,BOS,NBA,,65,,12.0,1.8,4.2,.419,,,,1.8,4.2,.419,.419,0.7,1.3,.512,,,2.5,1.1,,2.5,4.2
