,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,24,CIN,NBA,,2,8,,,,,1,2,,,4,,,,5
1964-65,25,CIN,NBA,,2,6,,,,,2,2,,,8,3,,5,5
1965-66,26,CIN,NBA,,3,,,,,,2,2,,,,,,,6
1967-68,28,BOS,NBA,,2,,,,,,1,2,,,,,,,4
1968-69,29,INA,ABA,,7,,0,,,,5,8,,,,,,,19
1969-70,30,INA,ABA,,3,,2,,,,4,5,,,,,,,11
Career,,,TOT,,7,,,,,,5,8,,,,,,,19
,,,NBA,,3,,,,,,2,2,,,,,,,6
,,,ABA,,7,,2,,,,5,8,,,,,,,19
,,,,,,,,,,,,,,,,,,,
2 Seasons,,INA,ABA,,7,,2,,,,5,8,,,,,,,19
1 Season,,BOS,NBA,,2,,,,,,1,2,,,,,,,4
3 Seasons,,CIN,NBA,,3,,,,,,2,2,,,,,,,6
