Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,24,CIN,NBA,PG,6,NA,43,5,19.3,0.261,NA,NA,NA,5,19.3,0.261,0.8,3.3,0.25,NA,NA,10.9,2.5,NA,3.3,10.9
1964-65,25,CIN,NBA,PG,4,NA,47,3.8,10,0.385,NA,NA,NA,3.8,10,0.385,2.3,3.1,0.75,NA,NA,9.2,2.3,NA,6.1,10
1965-66,26,CIN,NBA,PG,4,NA,46,5.5,17.2,0.318,NA,NA,NA,5.5,17.2,0.318,2.3,3.1,0.75,NA,NA,7,3.9,NA,8.6,13.3
1967-68,28,BOS,NBA,SG,17,NA,81,3.1,10.7,0.292,NA,NA,NA,3.1,10.7,0.292,0.9,3.1,0.286,NA,NA,7.6,3.6,NA,10.2,7.1
1968-69,29,INA,ABA,PG,16,NA,391,3.3,10.8,0.308,0,0.5,0,3.3,10.3,0.321,2.6,4.3,0.596,NA,NA,7.1,6.4,3,4.9,9.2
1969-70,30,INA,ABA,PG,14,NA,187,2.3,7.3,0.316,0.6,2.1,0.273,1.7,5.2,0.333,1.2,2.1,0.545,NA,NA,9.2,6.9,3.9,7.1,6.4
Career,NA,,TOT,,61,NA,795,3.3,10.7,0.308,0.2,1,0.188,3.2,10,0.317,1.9,3.5,0.558,NA,NA,8,5.6,3.3,6.2,8.7
,NA,,NBA,,31,NA,217,4.1,13.6,0.305,NA,NA,NA,4.1,13.6,0.305,1.5,3.2,0.474,NA,NA,8.5,3.2,NA,7.6,9.8
,NA,,ABA,,30,NA,578,3,9.7,0.31,0.2,1,0.188,2.8,8.7,0.324,2.1,3.6,0.586,NA,NA,7.8,6.5,3.3,5.6,8.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,INA,ABA,,30,NA,578,3,9.7,0.31,0.2,1,0.188,2.8,8.7,0.324,2.1,3.6,0.586,NA,NA,7.8,6.5,3.3,5.6,8.3
1 season,NA,BOS,NBA,,17,NA,81,3.1,10.7,0.292,NA,NA,NA,3.1,10.7,0.292,0.9,3.1,0.286,NA,NA,7.6,3.6,NA,10.2,7.1
3 seasons,NA,CIN,NBA,,14,NA,136,4.8,15.4,0.31,NA,NA,NA,4.8,15.4,0.31,1.9,3.2,0.583,NA,NA,9,2.9,NA,6.1,11.4
