Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1963-64,24,CIN,NBA,PG,6,NA,43,6,23,0.261,NA,NA,NA,6,23,0.261,0.261,1,4,0.25,NA,NA,13,3,NA,4,13
1964-65,25,CIN,NBA,PG,4,NA,47,5,13,0.385,NA,NA,NA,5,13,0.385,0.385,3,4,0.75,NA,NA,12,3,NA,8,13
1965-66,26,CIN,NBA,PG,4,NA,46,7,22,0.318,NA,NA,NA,7,22,0.318,0.318,3,4,0.75,NA,NA,9,5,NA,11,17
1967-68,28,BOS,NBA,SG,17,NA,81,7,24,0.292,NA,NA,NA,7,24,0.292,0.292,2,7,0.286,NA,NA,17,8,NA,23,16
1968-69,29,INA,ABA,PG,16,NA,391,36,117,0.308,0,5,0,36,112,0.321,0.308,28,47,0.596,NA,NA,77,69,33,53,100
1969-70,30,INA,ABA,PG,14,NA,187,12,38,0.316,3,11,0.273,9,27,0.333,0.355,6,11,0.545,NA,NA,48,36,20,37,33
Career,NA,,TOT,,61,NA,795,73,237,0.308,3,16,0.188,70,221,0.317,0.314,43,77,0.558,NA,NA,176,124,53,136,192
,NA,,NBA,,31,NA,217,25,82,0.305,NA,NA,NA,25,82,0.305,0.305,9,19,0.474,NA,NA,51,19,NA,46,59
,NA,,ABA,,30,NA,578,48,155,0.31,3,16,0.188,45,139,0.324,0.319,34,58,0.586,NA,NA,125,105,53,90,133
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,INA,ABA,,30,NA,578,48,155,0.31,3,16,0.188,45,139,0.324,0.319,34,58,0.586,NA,NA,125,105,53,90,133
1 season,NA,BOS,NBA,,17,NA,81,7,24,0.292,NA,NA,NA,7,24,0.292,0.292,2,7,0.286,NA,NA,17,8,NA,23,16
3 seasons,NA,CIN,NBA,,14,NA,136,18,58,0.31,NA,NA,NA,18,58,0.31,0.31,7,12,0.583,NA,NA,34,11,NA,23,43
