Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Luther Head,,5.7,3.5,3.5,0.9,0.6,0.6,NA,NA,NA,NA
Scott Burrell,87.2,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,NA,NA
Randy Wittman,85.2,5.9,4.2,3.5,1.6,1.2,0.7,0,0,0,NA
Mitchell Wiggins,83.8,5.4,3.5,3.3,2,1.2,-0.1,NA,NA,NA,NA
Elliot Perry,83.4,5.2,3.2,3.1,1.3,0.9,0.6,0.3,-0.1,-0.1,-0.4
Rudy Fernández,83.0,6.1,3.8,3,1.2,NA,NA,NA,NA,NA,NA
Ron Brewer,82.0,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA,NA
Will Barton,81.5,6.2,4.3,3.3,1.3,1.2,0.6,-0.5,NA,NA,NA
Chick Reiser,81.3,5.5,3.9,3.7,NA,NA,NA,NA,NA,NA,NA
Billy Kenville,79.6,4.5,3.9,3,1.4,0.5,0.4,NA,NA,NA,NA
Malik Sealy,79.2,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,NA,NA
