Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Luther Head,,5.7,3.5,3.5,0.9,0.6,0.6
Randy Wittman,85.7,5.9,4.2,3.5,1.6,1.2,0.7
Darnell Valentine,84.0,5,3.7,3.4,1.7,1.1,1
Mitchell Wiggins,83.8,5.4,3.5,3.3,2,1.2,-0.1
Steve Kerr,83.7,6.1,3.2,2.4,1.3,0.6,0.4
Eric Snow,83.5,6.1,3.8,3.8,1.9,1.3,0.5
Ron Brewer,83.4,5.6,4.3,3.3,1.6,1.4,0.3
Steve Blake,83.1,5.8,3.8,2.8,2.1,0.7,0.3
Rudy Fernández,83.0,6.1,3.8,3,1.2,NA,NA
Chico Vaughn,83.0,4.9,3.4,3.4,2.3,0.8,0.4
Aaron Brooks,82.2,5.5,3.6,2.2,1.4,1.1,0.8
