Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Milt Palacio,,1.8,1.7,0.8,0.2,0.2,-0.3,-0.5
Anthony Carter,70.6,1.7,1.4,0.6,0.5,0.2,-0.2,-0.3
Mike Holton,67.0,2.3,1.3,0.8,0.3,0.2,-0.2,NA
Chris Carr,66.6,1.7,1.1,0.9,0.3,0.2,-0.3,NA
James Robinson,65.6,2.3,1.9,1.2,0.2,0.2,0,-0.1
Dahntay Jones,64.9,2,1.8,0.9,0.7,0.6,0.4,-0.4
Sidney Lowe,62.4,1.7,1.5,0.5,0.3,NA,NA,NA
Maurice McHartley,62.1,2.4,1.8,0.8,NA,NA,NA,NA
Corky Devlin,61.7,1.8,1.2,0.8,NA,NA,NA,NA
Kenny Higgs,61.7,2.2,1.5,1,NA,NA,NA,NA
Gary Brokaw,60.8,1.9,1.6,1.6,0.1,NA,NA,NA
