Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Marvin Williams,,7.8,6.1,5.7,5.7,5,5,4.9,4.3,4,3.8,2.9,2.8,2.3,2.3
Eddie Johnson,95.0,7.4,6.5,5.6,5.6,5.5,5.3,4.8,4.3,4,3.9,3,2.4,1.8,1.6
Robert Horry,93.3,6.9,6.6,5.9,5.7,4.9,4.8,4.6,4.6,4.2,3.6,3.6,2.9,2.6,1.7
Clarence Weatherspoon,92.2,8.6,6,5.8,5.5,5.1,5,4.5,4,3.6,3.5,3.3,2.6,1.1,NA
Joe Smith,91.8,6.8,6.3,6.1,5.5,4.7,4.4,4.4,4.1,3.7,3,2.8,2.7,2.6,2.3
Amir Johnson,90.7,7.3,6.3,5.9,5.6,5.1,5,4.5,4.1,4,3,2.7,1.1,0.5,0.2
Kurt Thomas,90.7,8.2,6.5,5.4,5.2,5.2,5,4.5,4.1,3.8,3.3,2.9,2.5,0.5,-0.2
Metta World Peace,90.0,8,7.2,6.7,5.5,5.3,4.7,4.6,4.4,3.7,2.7,2.6,2.3,1.9,1.3
Juwan Howard,89.9,7,6,5.6,4.9,4.9,4.6,4.4,3.7,3.6,3.2,2.8,2.8,1.9,0.1
Mike Miller,89.8,7.4,7,5.3,5,4.8,4.5,4.2,4,3.9,3.9,3.9,2.6,1.8,1.6
Rudy Gay,88.7,6.4,6.1,6,5.5,5,4.8,4.4,4,3.8,3.3,3.1,1.8,0.5,NA
