Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
J.R. Smith,,6.7,5.8,5.5,5,3.7,3.7,3.7,3.7,2.7,2.5,1.4,1.2,0.8,0.2,-0.2
Jameer Nelson,91.9,6.6,6,5.6,5,4.9,4,3.5,2.8,2.8,2.5,2.1,1.4,0.6,0.5,NA
Jalen Rose,88.9,7.3,7.3,5.7,4.8,3.8,3.6,3.3,2.9,2.5,2.1,1.8,1.5,0.6,NA,NA
Vinnie Johnson,88.4,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,1.2,0.2,NA,NA
Sedale Threatt,88.1,7.3,7.1,4.6,4.6,4.5,3.8,3.7,3.4,2.7,2.5,2.1,1.3,0.4,0.1,NA
Nate McMillan,88.0,6.5,6,5.6,5.1,4.9,4.4,4.1,3.7,3.7,2.8,2.6,0.8,NA,NA,NA
Craig Ehlo,87.6,6.5,6.2,5.9,4.6,3.8,3.4,3.3,3.1,2.1,1.2,0.5,0.3,0.2,0,NA
John Lucas,86.7,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.9,3.2,1.9,1.3,1,0.4,NA
Jrue Holiday,85.5,7.1,5.7,5.4,4.2,3.8,3.4,3.4,3.3,1.5,1.2,NA,NA,NA,NA,NA
D.J. Augustin,85.4,6.9,6.2,6.2,5.1,4.1,3.4,2.8,2.8,2.6,1.2,0.5,NA,NA,NA,NA
Spud Webb,85.0,5.4,5.1,5.1,4.5,4.1,3.9,3.5,3,2.3,2.2,1.2,-0.1,NA,NA,NA
