,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1975-76,23,DET,NBA,,6,8,5,7,,,10,2,,,,4,16,
1976-77,24,DET,NBA,,1,6,4,5,,,5,2,,,,3,4,
Career,,,,,6,8,5,7,,,10,2,,,,4,16,
