,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1974-75,22,DET,NBA,,5,,4,4,,,,,,,,,11,
1975-76,23,DET,NBA,,15,,12,14,,,,,,,,,30,
1976-77,24,DET,NBA,,8,,8,11,,,,,,,,,24,
1977-78,25,DET,NBA,,9,,5,7,,,,,,,,,20,
Career,,,,,15,,12,14,,,,,,,,,30,
