Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,22,DET,NBA,SF,34,NA,277,31,85,0.365,17,21,0.81,18,29,47,16,13,1,NA,33,79
1975-76,23,DET,NBA,SF,81,NA,2066,283,683,0.414,191,229,0.834,139,251,390,83,87,15,NA,250,757
1976-77,24,DET,NBA,SF,68,NA,1219,181,380,0.476,109,138,0.79,76,145,221,50,45,15,NA,197,471
1977-78,25,DET,NBA,SF,37,NA,576,71,160,0.444,41,61,0.672,37,65,102,26,13,4,23,64,183
Career,NA,,NBA,,220,NA,4138,566,1308,0.433,358,449,0.797,270,490,760,175,158,35,23,544,1490
