Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Al Eberhard,,2.6,1.8,0.9,0
Carey Scurry,97.7,2.6,1.8,0.9,NA
Steve Kuberski,92.4,2.6,1.7,1.2,0.2
Rory White,88.4,2.6,1.5,1,0.4
Dave Sorenson,87.8,2.6,2.1,0.7,NA
Cheick Diallo,87.6,2.6,1.9,0.5,NA
Travis Outlaw,86.6,2.3,1.4,0.9,0
Cliff Pondexter,86.1,2.2,1.5,1,NA
George Lee,85.1,2.6,1.7,1.2,0.6
Bill Hewitt,84.9,2.4,1.7,0.6,-0.2
Shawne Williams,84.9,2.5,1.4,0.7,0
