Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Marcus Thornton,,4,3.8,3.5,3.2,2,1.7,1.2,0.5
Mickaël Piétrus,89.9,3.6,3.6,3,2.8,2.1,1.5,1.3,0.6
Darrell Griffith,89.2,3.9,3.5,3.5,2.8,2.5,2.1,0.8,0.4
Gerald Henderson,87.4,3.6,3.6,3.3,2.4,2,2,1,0.4
Randy Foye,87.2,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1
Bill Hanzlik,87.0,4.7,4.1,3.5,2.4,2.2,1.9,1.3,1
C.J. Watson,86.8,4,3.8,3.3,3.2,3.1,2.6,2.1,0.4
Kelvin Ransey,86.2,3.8,3.7,3.4,2.8,2.2,2,NA,NA
Carlos Delfino,86.1,4.8,4,3.5,3.5,2.9,2.4,1,0.5
Dell Curry,85.9,5,3.4,3.2,2.7,2,1.8,0.9,0.5
Maurice Evans,85.7,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.1
