Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Marcus Thornton,,4,3.8,3.5,3.2,2,1.7,1.2,0.5,NA,NA,NA,NA,NA
Gerald Henderson,87.4,3.6,3.6,3.3,2.4,2,2,1,0.4,NA,NA,NA,NA,NA
Maurice Evans,86.4,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA,NA,NA,NA
Kelvin Ransey,86.2,3.8,3.7,3.4,2.8,2.2,2,NA,NA,NA,NA,NA,NA,NA
Carlos Delfino,86.1,4.8,4,3.5,3.5,2.9,2.4,1,0.5,NA,NA,NA,NA,NA
Mickaël Piétrus,85.6,3.6,3.6,3,2.8,2.1,1.5,1.3,1.2,0.6,0,NA,NA,NA
Darnell Valentine,85.3,5,3.7,3.4,3.1,1.7,1.7,1.5,1.1,1,NA,NA,NA,NA
Calbert Cheaney,85.0,4.1,3.9,3.2,3.2,2.8,2.3,1.2,1.2,0.8,0.4,0.3,0,-0.1
Carlos Arroyo,84.9,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA,NA,NA,NA
Darrell Griffith,84.5,3.9,3.5,3.5,2.8,2.5,2.5,2.1,0.8,0.4,0,NA,NA,NA
Jerry Sichting,84.3,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2,NA,NA,NA
