Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Aaron James,,4.3,2.9,2.2,2.1,1.7
Reggie Evans,94.2,3.8,3,2.3,2.1,1.7
Ron Behagen,93.8,4.3,2.4,2.2,2,1.8
Danny Vranes,93.6,4.2,3.4,2.4,2.1,1.8
Tyrus Thomas,91.7,4.6,2.6,2.4,2.2,1.8
Lawrence Funderburke,90.5,3.7,3.1,2.1,1.9,1.6
T.J. Warren,90.0,4.1,3.4,2.2,2.1,1.1
Derrick Williams,90.0,3.6,3,2.6,2.1,1.8
John Brown,89.5,4.2,3.7,2.6,2.3,1.7
Jeff Cook,89.1,4.5,3.7,2.4,2.2,2
Darius Songaila,88.7,4.3,2.6,2.5,1.7,1.1
