Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Aaron James,,4.3,2.9,2.2,2.1,1.7,NA,NA,NA
Ron Behagen,92.0,4.3,2.4,2.2,2,1.8,0.2,0.1,NA
T.J. Warren,90.0,4.1,3.4,2.2,2.1,1.1,NA,NA,NA
Lawrence Funderburke,87.3,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA
Tyrus Thomas,86.7,4.6,2.6,2.4,2.2,1.8,0.1,-0.2,-0.6
Danny Vranes,86.1,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA
Lew Hitch,85.6,3.3,2.7,2.2,2.2,1.2,NA,NA,NA
Scott Padgett,84.6,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Don Ford,84.2,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA
Mike Muscala,84.0,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA
Derrick Williams,83.7,3.6,3,2.6,2.1,1.8,1.1,0,NA
