Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,22,NOJ,NBA,SF,76,NA,22.8,4.9,10.2,0.477,1.9,2.5,0.778,1.8,3,4.8,0.9,0.5,0.2,NA,2.9,11.7
1975-76,23,NOJ,NBA,SF,75,NA,17.9,3.5,7.9,0.441,2,2.7,0.75,1.2,2.1,3.3,0.8,0.4,0.1,NA,2.3,9
1976-77,24,NOJ,NBA,SF,52,NA,20.4,4.6,9.3,0.49,1.7,2.2,0.781,1.1,2.5,3.6,1.1,0.4,0.1,NA,2.4,10.9
1977-78,25,NOJ,NBA,SF,80,NA,26.5,5.4,10.8,0.497,1.5,2,0.745,2,3.2,5.3,1.4,0.5,0.3,1.6,3.2,12.2
1978-79,26,NOJ,NBA,SF,73,NA,19.4,4.3,8.6,0.494,1.4,1.9,0.75,1.3,2.1,3.4,1.1,0.4,0.3,1.5,2.8,10
Career,NA,,NBA,,356,NA,21.5,4.5,9.4,0.481,1.7,2.3,0.76,1.5,2.6,4.1,1,0.4,0.2,1.6,2.7,10.8
