Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Don Barksdale,,3.1,2.3,2.2,1.5
Derrick Williams,93.2,3,2.6,2.1,1.8
E.C. Coleman,91.4,3.2,2.6,2.5,1.7
Othella Harrington,91.2,3,2.2,1.7,1.4
Mark Landsberger,91.2,3.4,2.2,2.2,1.9
George Kaftan,90.8,3.4,2.4,1.7,1.6
Ryan Bowen,90.0,3.1,2.1,1.7,1.4
Bobby Portis,89.0,3.5,2.4,1.6,1.5
Tim Bassett,88.2,3.7,2.6,2.4,1.5
Lavoy Allen,88.1,2.8,2.5,1.6,1.5
Rick Fox,87.8,3.2,2.8,2.3,2.1
