Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Don Barksdale,,3.1,2.3,2.2,1.5,NA,NA,NA,NA
George Kaftan,89.3,3.4,2.4,1.7,1.6,-0.1,NA,NA,NA
Bobby Portis,89.0,3.5,2.4,1.6,1.5,NA,NA,NA,NA
Shellie McMillon,84.1,2.5,2.2,1.7,1.7,NA,NA,NA,NA
Josh Boone,81.9,3.7,1.8,1.8,1.7,NA,NA,NA,NA
Frank Kaminsky,81.4,3.6,3.3,2.3,1.8,NA,NA,NA,NA
Reggie Johnson,81.3,3.9,3,2.4,1.6,NA,NA,NA,NA
Billy Thompson,81.3,3.6,2.8,1.7,1.6,0,-0.1,NA,NA
David Wood,81.1,2.8,2.3,2.2,1.3,1,0.5,0,NA
Ira Newble,80.9,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1
Al Tucker,80.9,3.5,2.3,2.3,2.1,1.1,NA,NA,NA
