,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1953-54,30,BOS,NBA,,5,13,5,6,,2,6,10
1954-55,31,BOS,NBA,,5,,7,,,,6,17
Career,,,,,5,,7,,,,6,17
