Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,24,WSC,BAA,PG,6,NA,NA,NA,NA,0.232,NA,NA,0.794,NA,NA,NA,NA
1948-49,26,WSC,BAA,PG,9,NA,NA,NA,NA,0.27,NA,NA,0.7,NA,NA,NA,NA
1949-50,27,WSC,NBA,PG,2,NA,NA,NA,NA,0.481,NA,NA,1,NA,NA,NA,NA
1950-51,28,SYR,NBA,PG,7,NA,NA,NA,NA,0.355,NA,NA,0.815,NA,NA,NA,NA
1952-53,30,FTW,NBA,PG,8,NA,268,3.9,12.1,0.322,6.6,8.2,0.803,3.4,2.8,4.2,14.4
1953-54,31,FTW,NBA,PG,4,NA,60,3.6,14.4,0.25,0,0,NA,4.2,3.6,4.8,7.2
1954-55,32,BOS,NBA,PG,5,NA,29,5,18.6,0.267,5,6.2,0.8,6.2,3.7,8.7,14.9
Career,NA,,TOT,,41,NA,357,3.9,13,0.302,5.3,6.7,0.792,3.7,3,4.6,13.2
,NA,,NBA,,26,NA,357,3.9,13,0.341,5.3,6.7,0.827,3.7,3,4.6,13.2
,NA,,BAA,,15,NA,NA,NA,NA,0.251,NA,NA,0.743,NA,NA,NA,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,WSC,BAA,,17,NA,NA,NA,NA,0.279,NA,NA,0.776,NA,NA,NA,NA
2 seasons,NA,FTW,NBA,,12,NA,328,3.8,12.5,0.307,5.4,6.7,0.803,3.5,3,4.3,13.1
1 season,NA,SYR,NBA,,7,NA,NA,NA,NA,0.355,NA,NA,0.815,NA,NA,NA,NA
1 season,NA,BOS,NBA,,5,NA,29,5,18.6,0.267,5,6.2,0.8,6.2,3.7,8.7,14.9
