Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Fred Scolari,,8.5,5.6,5.4,4.5,3.1,2.7,1.2,-0.7,NA,NA
Frankie Brian,86.8,9.2,6.1,5.6,3.6,3,2.7,-0.2,NA,NA,NA
Butch Beard,84.9,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5,0,NA
Micheal Ray Richardson,84.8,8.7,6.9,6,5.5,3.3,2.4,2,0.3,NA,NA
Ronnie Brewer,84.5,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA,NA
Scott Skiles,84.2,8,7,4.5,4.4,3.2,2,1.3,0.3,0.1,-0.2
Chuck Williams,84.1,10,6.1,4.7,3.8,3.2,3,1.3,0.6,NA,NA
Dave Twardzik,83.8,7.5,5.5,5.1,5.1,3.7,3,2.4,1.1,NA,NA
Johnny Moore,83.3,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,NA
George King,83.1,8.1,6.4,6.3,3.8,3.8,3,NA,NA,NA,NA
Flynn Robinson,82.8,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA,NA
