,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,24,WSC,BAA,,8,,9,10,,,5,25
1947-48,25,WSC,BAA,,7,,2,4,,,5,16
1948-49,26,WSC,BAA,,7,,6,9,,,6,20
1949-50,27,WSC,NBA,,8,14,7,7,,2,4,23
1950-51,28,TOT,NBA,,11,,6,6,,,6,23
1950-51,28,SYR,NBA,,11,,6,6,,,6,23
1952-53,30,TOT,NBA,,7,,13,16,,,5,27
1952-53,30,FTW,NBA,,7,,13,16,,,5,27
1953-54,31,FTW,NBA,,2,,0,0,,,3,4
1954-55,32,BOS,NBA,,1,,2,2,,3,2,3
Career,,,TOT,,11,,13,16,,,6,27
,,,NBA,,11,,13,16,,,6,27
,,,BAA,,8,,9,10,,,6,25
,,,,,,,,,,,,
4 Seasons,,WSC,BAA,,8,,9,10,,,6,25
2 Seasons,,FTW,NBA,,7,,13,16,,,5,27
1 Season,,SYR,NBA,,11,,6,6,,,6,23
1 Season,,BOS,NBA,,1,,2,2,,3,2,3
