Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1946-47,24,WSC,BAA,PG,6,NA,NA,0.323,0.358,NA,NA,NA,NA,NA,0.3,0.2,0.5,NA
1948-49,26,WSC,BAA,PG,9,NA,NA,0.349,0.4,NA,NA,NA,NA,NA,-0.2,0.4,0.1,NA
1949-50,27,WSC,NBA,PG,2,NA,NA,0.581,0.407,NA,NA,NA,NA,NA,0.4,-0.1,0.3,NA
1950-51,28,SYR,NBA,PG,7,NA,NA,0.42,0.29,NA,NA,NA,NA,NA,0,0.2,0.3,NA
1952-53,30,FTW,NBA,PG,8,268,16,0.458,0.678,NA,NA,NA,22.7,NA,0.4,0.1,0.4,0.076
1953-54,31,FTW,NBA,PG,4,60,1.8,0.25,0,NA,NA,NA,21.4,NA,-0.3,0.1,-0.3,-0.223
1954-55,32,BOS,NBA,PG,5,29,5,0.349,0.333,NA,NA,NA,15.7,NA,-0.1,0,-0.1,-0.14
Career,NA,,TOT,,41,357,12.7,0.392,0.401,NA,NA,NA,21.9,NA,0.5,0.8,1.3,0.009
,NA,,NBA,,26,357,12.7,0.434,0.418,NA,NA,NA,21.9,NA,0.4,0.3,0.7,0.009
,NA,,BAA,,15,NA,NA,0.336,0.379,NA,NA,NA,NA,NA,0.1,0.5,0.6,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,WSC,BAA,,17,NA,NA,0.366,0.383,NA,NA,NA,NA,NA,0.5,0.5,1,NA
2 seasons,NA,FTW,NBA,,12,328,13.4,0.422,0.535,NA,NA,NA,22.5,NA,0,0.1,0.1,0.022
1 season,NA,SYR,NBA,,7,NA,NA,0.42,0.29,NA,NA,NA,NA,NA,0,0.2,0.3,NA
1 season,NA,BOS,NBA,,5,29,5,0.349,0.333,NA,NA,NA,15.7,NA,-0.1,0,-0.1,-0.14
