Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Jaren Jackson,,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
Kent Bazemore,88.4,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA,NA,NA,NA,NA
Eddie Robinson,87.2,4,3,2.2,0.8,0.2,NA,NA,NA,NA,NA,NA,NA
Sonny Hertzberg,86.9,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA,NA,NA
Lee Winfield,86.9,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA,NA,NA,NA
Andre Roberson,86.4,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA,NA,NA,NA
Joe Hamilton,85.3,4.1,2.9,2.9,2.2,0.2,0.2,NA,NA,NA,NA,NA,NA
Bill Gabor,84.5,3.5,2.9,2.8,1.5,0.5,0,NA,NA,NA,NA,NA,NA
Ron Lee,84.0,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA,NA,NA,NA
Charlie Bell,83.6,4,3.3,2.2,2,1.3,-0.1,-0.2,NA,NA,NA,NA,NA
Roger Mason,83.2,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1,NA,NA
