Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dean Garrett,,6.2,2.9,2.2,1.9,1,-0.1
Melvin Turpin,93.4,6,3.1,2.1,1.8,0.8,NA
Zaid Abdul-Aziz,87.5,6.5,2,1.9,1.8,1,-0.3
Chris Kaman,86.0,6.1,3.6,2.9,2.1,0.6,0
Kim Hughes,85.7,6.8,2.3,2.2,2.2,0.4,-0.1
Mark Blount,85.4,6.5,2.8,1.9,1.7,1.7,0.7
Mark West,84.2,5.5,3.1,1.9,1.1,0.9,-0.1
Todd MacCulloch,83.2,5.6,2.5,2.2,1.7,NA,NA
Bryant Reeves,82.9,4.9,2.9,2.4,2.3,0.6,-0.1
Kosta Koufos,81.8,6.5,3.5,2.7,1.3,0.2,0
Fabricio Oberto,78.5,6.1,4.1,1.7,1.1,0.6,0
