Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,30,MIN,NBA,C,68,47,1665,223,389,0.573,0,0,NA,223,389,0.573,0.573,96,138,0.696,149,346,495,38,40,95,34,158,542
1997-98,31,DEN,NBA,C,82,82,2632,242,565,0.428,0,0,NA,242,565,0.428,0.428,114,176,0.648,227,417,644,90,57,133,84,197,598
1998-99,32,MIN,NBA,C,49,37,1054,116,231,0.502,0,0,NA,116,231,0.502,0.502,38,51,0.745,99,158,257,28,30,45,29,113,270
1999-00,33,MIN,NBA,C,56,23,604,48,108,0.444,0,0,NA,48,108,0.444,0.444,18,26,0.692,41,99,140,19,8,40,21,94,114
2000-01,34,MIN,NBA,C,70,21,831,75,156,0.481,0,0,NA,75,156,0.481,0.481,27,39,0.692,65,152,217,24,26,49,25,93,177
2001-02,35,TOT,NBA,C,34,0,183,18,55,0.327,0,0,NA,18,55,0.327,0.327,0,3,0,16,41,57,5,7,10,10,32,36
2001-02,35,MIN,NBA,C,29,0,152,14,40,0.35,0,0,NA,14,40,0.35,0.35,0,3,0,13,34,47,4,5,9,7,26,28
2001-02,35,GSW,NBA,C,5,0,31,4,15,0.267,0,0,NA,4,15,0.267,0.267,0,0,NA,3,7,10,1,2,1,3,6,8
Career,NA,,NBA,,359,210,6969,722,1504,0.48,0,0,NA,722,1504,0.48,0.48,293,433,0.677,597,1213,1810,204,168,372,203,687,1737
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,MIN,NBA,,272,128,4306,476,924,0.515,0,0,NA,476,924,0.515,0.515,179,257,0.696,367,789,1156,113,109,238,116,484,1131
1 season,NA,DEN,NBA,,82,82,2632,242,565,0.428,0,0,NA,242,565,0.428,0.428,114,176,0.648,227,417,644,90,57,133,84,197,598
1 season,NA,GSW,NBA,,5,0,31,4,15,0.267,0,0,NA,4,15,0.267,0.267,0,0,NA,3,7,10,1,2,1,3,6,8
