Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Gheorghe Mureșan,,8,5.3,4.1,1.3,0.3,-0.1
Don Otten,88.1,8.5,5.8,4.9,1.7,NA,NA
Nikola Peković,85.8,6.7,5.9,4.5,1.2,0.6,-0.1
Jack Nichols,83.7,6.7,4.3,4.1,1.6,0.3,NA
Myles Turner,83.0,8,6.3,4.7,3.1,NA,NA
Bob Rule,82.7,7.8,6.4,5.2,2.4,0.5,0.1
Rasho Nesterović,82.1,7.2,5.2,4.1,3,1.5,0
Jusuf Nurkić,81.2,7.8,4.7,2,1.6,0.4,NA
Scot Pollard,80.6,6.8,5.4,5.1,1.1,1,0.9
Bill McGill,78.6,7.1,4.6,3.1,2.2,-0.1,NA
Tom Burleson,75.6,8.2,4.4,4.3,3.3,2.7,-0.1
