Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Gheorghe Mureșan,,8,5.3,4.1,1.3,0.3,-0.1,NA,NA
Don Otten,88.1,8.5,5.8,4.9,1.7,NA,NA,NA,NA
Nikola Peković,85.8,6.7,5.9,4.5,1.2,0.6,-0.1,NA,NA
Myles Turner,83.0,8,6.3,4.7,3.1,NA,NA,NA,NA
Bob Rule,81.7,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0
Jusuf Nurkić,81.2,7.8,4.7,2,1.6,0.4,NA,NA,NA
Bill McGill,78.6,7.1,4.6,3.1,2.2,-0.1,NA,NA,NA
Mike Lewis,74.8,7.9,7.5,4,3.8,1.1,0,NA,NA
Tom Burleson,74.7,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,NA
Manny Leaks,73.7,7.3,5.2,1.1,0.8,0.2,-0.2,NA,NA
Chick Halbert,72.6,7.4,3.6,3.3,2.9,NA,NA,NA,NA
