Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Corey Brewer,,5.2,3.9,3.1,2.3,2.3,1.2,1.2,1.1,1,1,0.3,-0.2
James Jones,87.5,4.7,4,3.7,2.5,2.2,1.7,1.5,1,0.9,0.7,0.2,0
Tony Campbell,86.0,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3,NA
Lamond Murray,86.0,4.9,4.1,3.3,2.3,2.1,1.3,1.2,0.9,0.3,-0.3,-0.3,NA
Earl Lloyd,85.7,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,NA,NA,NA
Pat Cummings,83.3,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1
Kwame Brown,83.0,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1
Anthony Tolliver,81.7,5.3,3.3,3.2,2.8,2.7,2.5,2.3,1.2,1.2,0.9,0,NA
Donald Royal,81.5,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA,NA,NA
Shandon Anderson,81.4,4.9,4.2,3.9,2.7,2.1,2,1.7,1.2,0.5,0.4,NA,NA
Charlie Villanueva,81.2,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,NA
