Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,25,BAL,NBA,C,10,NA,427,74,158,0.468,61,92,0.663,NA,NA,151,34,NA,NA,38,209
1966-67,27,NYK,NBA,C,4,NA,157,28,54,0.519,17,29,0.586,NA,NA,66,12,NA,NA,15,73
1967-68,28,NYK,NBA,C,6,NA,277,45,107,0.421,30,48,0.625,NA,NA,96,21,NA,NA,22,120
1969-70,30,ATL,NBA,C,9,NA,368,59,126,0.468,33,46,0.717,NA,NA,140,35,NA,NA,32,151
1970-71,31,ATL,NBA,C,5,NA,216,41,69,0.594,22,29,0.759,NA,NA,72,10,NA,NA,16,104
1971-72,32,ATL,NBA,C,6,NA,247,42,86,0.488,27,43,0.628,NA,NA,82,11,NA,NA,20,111
1972-73,33,ATL,NBA,C,6,NA,247,34,86,0.395,14,31,0.452,NA,NA,73,13,NA,NA,17,82
Career,NA,,NBA,,46,NA,1939,323,686,0.471,204,318,0.642,NA,NA,680,136,NA,NA,160,850
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,ATL,NBA,,26,NA,1078,176,367,0.48,96,149,0.644,NA,NA,367,69,NA,NA,85,448
2 seasons,NA,NYK,NBA,,10,NA,434,73,161,0.453,47,77,0.61,NA,NA,162,33,NA,NA,37,193
1 season,NA,BAL,NBA,,10,NA,427,74,158,0.468,61,92,0.663,NA,NA,151,34,NA,NA,38,209
