Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Walt Bellamy,,16.3,14.4,13.7,12.1,11.1,10.4,10.3,9.5,8.8,7.1,6.2,5.4,4.9,0.1
Moses Malone,89.8,15.4,15.1,14.1,13.7,11.9,11.9,10.2,9.5,9.4,9.2,8.9,8.7,6.1,1.9
Hakeem Olajuwon,88.4,15.8,14.3,12.4,11.2,10.9,10.7,10.7,10.2,9.8,9.7,9.5,9.1,8.6,4.5
Patrick Ewing,88.2,13.5,13.1,13,10.9,10.6,10,9.8,9.6,8.1,6.8,3.5,3.3,3.1,3
Dan Issel,87.4,15.8,13.8,13.5,12.5,11.5,11.1,10.9,10.7,10.5,9.8,9.8,9.3,8.4,6.1
Dwight Howard,87.3,14.4,13.8,13.2,12.9,9.7,8.6,8.3,8,7.7,7.6,7.3,6.8,6.6,3.6
Bob Lanier,84.4,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,6.8,6.7,6.6,5.9,5.2,2.3
Zelmo Beaty,83.2,16,15.1,11.8,10.8,10.3,9,8.4,7.7,5.2,4.8,4.5,2.3,NA,NA
Wes Unseld,81.4,11.1,10.8,10.7,10.6,10,9.5,8.7,8.4,8.3,6.8,6.2,5.5,3.6,NA
Shaquille O'Neal,81.3,18.6,16.9,14.9,14,13.2,13.2,11,10.4,10.2,9.9,9,8,6.9,6.2
Robert Parish,80.0,10.9,10.8,10.5,10.5,10,9.2,9.2,9,7.8,7.1,6.4,4.8,4.6,4
