Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1961-62,22,CHP,NBA,C,79,NA,42.3,12.3,23.7,0.519,6.9,10.8,0.644,NA,NA,19,2.7,NA,NA,3.6,31.6
1962-63,23,CHZ,NBA,C,80,NA,41.3,10.5,19.9,0.527,6.9,10.3,0.674,NA,NA,16.4,2.9,NA,NA,3.5,27.9
1963-64,24,BAL,NBA,C,80,NA,42.4,10.1,19.8,0.513,6.7,10.3,0.651,NA,NA,17,1.6,NA,NA,3.8,27
1964-65,25,BAL,NBA,C,80,NA,41.3,9.2,18,0.509,6.4,9.4,0.685,NA,NA,14.6,2.4,NA,NA,3.3,24.8
1965-66,26,TOT,NBA,C,80,NA,41.9,8.7,17.2,0.506,5.4,8.6,0.624,NA,NA,15.7,2.9,NA,NA,3.7,22.8
1965-66,26,BAL,NBA,C,8,NA,33.5,7,15.5,0.452,5,8.4,0.597,NA,NA,12.8,2.3,NA,NA,4,19
1965-66,26,NYK,NBA,C,72,NA,42.8,8.9,17.3,0.512,5.4,8.6,0.627,NA,NA,16,3,NA,NA,3.6,23.2
1966-67,27,NYK,NBA,C,79,NA,38.1,7.2,13.7,0.521,4.7,7.3,0.636,NA,NA,13.5,2.6,NA,NA,3.5,19
1967-68,28,NYK,NBA,C,82,NA,32.9,6.2,11.5,0.541,4.3,6.5,0.662,NA,NA,11.7,2,NA,NA,3.2,16.7
1968-69,29,TOT,NBA,C,88,NA,35.9,6.4,12.5,0.51,4.6,7,0.649,NA,NA,12.5,2,NA,NA,3.6,17.4
1968-69,29,NYK,NBA,C,35,NA,32.5,5.8,11.5,0.507,3.6,5.8,0.619,NA,NA,11,2.2,NA,NA,3.5,15.2
1968-69,29,DET,NBA,C,53,NA,38.2,6.8,13.2,0.512,5.2,7.8,0.663,NA,NA,13.5,1.9,NA,NA,3.7,18.8
1969-70,30,TOT,NBA,C,79,NA,25.7,4.4,8.5,0.523,2.7,4.7,0.576,NA,NA,8.9,1.8,NA,NA,3.3,11.6
1969-70,30,DET,NBA,C,56,NA,20.9,3.8,6.9,0.547,2.5,4.4,0.562,NA,NA,7.1,1,NA,NA,2.9,10
1969-70,30,ATL,NBA,C,23,NA,37.2,6.1,12.5,0.491,3.3,5.4,0.605,NA,NA,13.5,3.8,NA,NA,4.2,15.5
1970-71,31,ATL,NBA,C,82,NA,35.5,5.3,10.7,0.493,4.1,6.8,0.604,NA,NA,12.9,2.8,NA,NA,3.3,14.7
1971-72,32,ATL,NBA,C,82,NA,38.9,7.2,13.3,0.545,4.1,7.1,0.585,NA,NA,12.8,3.2,NA,NA,3.1,18.6
1972-73,33,ATL,NBA,C,74,NA,37.9,6.1,12.2,0.505,3.8,7.1,0.538,NA,NA,13,2.4,NA,NA,3.3,16.1
1973-74,34,ATL,NBA,C,77,NA,31.7,5.1,10.4,0.486,3,5,0.608,3.4,6.2,9.6,2.5,0.7,0.6,3,13.1
1974-75,35,NOJ,NBA,C,1,NA,14,2,2,1,2,2,1,0,5,5,0,0,0,2,6
Career,NA,,NBA,,1043,NA,37.3,7.6,14.7,0.516,4.9,7.8,0.632,3.4,6.2,13.7,2.4,0.7,0.6,3.4,20.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,ATL,NBA,,338,NA,36.1,5.9,11.7,0.508,3.7,6.4,0.584,3.4,6.2,12.2,2.8,0.7,0.6,3.3,15.6
5 seasons,NA,"CHP,CHZ,BAL",NBA,,327,NA,41.6,10.4,20.2,0.516,6.7,10.1,0.661,NA,NA,16.6,2.4,NA,NA,3.5,27.6
4 seasons,NA,NYK,NBA,,268,NA,37,7.2,13.7,0.522,4.6,7.2,0.638,NA,NA,13.3,2.5,NA,NA,3.4,18.9
2 seasons,NA,DET,NBA,,109,NA,29.3,5.2,10,0.524,3.8,6.1,0.626,NA,NA,10.2,1.4,NA,NA,3.3,14.3
1 season,NA,NOJ,NBA,,1,NA,14,2,2,1,2,2,1,0,5,5,0,0,0,2,6
