Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1961-62,22,CHP,NBA,C,1,1,29:00,10,18,0.556,3,8,0.375,NA,17,1,NA,NA,6,23
1962-63,23,CHZ,NBA,C,1,1,14:00,1,4,0.25,0,2,0,NA,1,2,NA,NA,3,2
1963-64,24,BAL,NBA,C,1,1,23:00,4,11,0.364,3,5,0.6,NA,7,0,NA,NA,3,11
1964-65,25,BAL,NBA,C,1,0,17:00,4,5,0.8,4,4,1,NA,5,1,NA,NA,3,12
Career,NA,,NBA,,4,3,83,19,38,0.5,10,19,0.526,NA,30,4,NA,NA,15,48
