Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1964-65,25,BAL,NBA,C,10,427,18.8,0.527,0.582,NA,NA,NA,11,NA,NA,NA,0.9,0.4,1.3,0.143,NA,NA,NA,NA,NA
1966-67,27,NYK,NBA,C,4,157,18.9,0.547,0.537,NA,NA,NA,10.5,NA,NA,NA,0.4,0.2,0.5,0.167,NA,NA,NA,NA,NA
1967-68,28,NYK,NBA,C,6,277,15.2,0.468,0.449,NA,NA,NA,10,NA,NA,NA,0.1,0.2,0.2,0.041,NA,NA,NA,NA,NA
1969-70,30,ATL,NBA,C,9,368,17.1,0.516,0.365,NA,NA,NA,11.9,NA,NA,NA,0.5,0.6,1.1,0.144,NA,NA,NA,NA,NA
1970-71,31,ATL,NBA,C,5,216,21,0.636,0.42,NA,NA,14.9,7,NA,NA,NA,0.9,0.2,1,0.231,NA,NA,NA,NA,NA
1971-72,32,ATL,NBA,C,6,247,15.9,0.529,0.5,NA,NA,15.4,6,NA,NA,NA,0.4,0.1,0.5,0.089,NA,NA,NA,NA,NA
1972-73,33,ATL,NBA,C,6,247,10.8,0.411,0.36,NA,NA,13.7,6.4,NA,NA,NA,-0.2,0.3,0,0.007,NA,NA,NA,NA,NA
Career,NA,,NBA,,46,1939,16.8,0.515,0.464,NA,NA,14.7,9.3,NA,NA,NA,2.8,1.9,4.7,0.116,NA,NA,NA,NA,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,ATL,NBA,,26,1078,16.2,0.518,0.406,NA,NA,14.7,8.3,NA,NA,NA,1.5,1.1,2.6,0.117,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,10,434,16.5,0.495,0.478,NA,NA,NA,10.2,NA,NA,NA,0.5,0.3,0.8,0.087,NA,NA,NA,NA,NA
1 season,NA,BAL,NBA,,10,427,18.8,0.527,0.582,NA,NA,NA,11,NA,NA,NA,0.9,0.4,1.3,0.143,NA,NA,NA,NA,NA
