Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mike Peplowski,,0.9,0.1,0,NA,NA
Paul Ruffner,88.1,0.9,0.1,0,0,0
Luke Witte,83.4,1,0.1,0.1,NA,NA
Chris Johnson,61.3,1,0.2,0.2,NA,NA
Chris Welp,61.0,0.7,0.3,0,NA,NA
Wallace Bryant,56.2,1.3,0,0,NA,NA
Stojko Vranković,54.8,0.9,0.4,0.1,0,-0.1
Garfield Smith,45.8,1,-0.1,-0.2,NA,NA
Bernard James,40.4,1.2,0.5,0.1,NA,NA
Keith Closs,39.8,1.1,0.6,0.2,NA,NA
Jason Collier,38.4,1.2,0.4,0.3,0,0
